id,external_id,dedupe_key,project_id,sort_index,title,status,start_date,due_date,completed_date,priority,created_at,updated_at
046a6bf7-8fc2-48b4-92eb-c31a504cb50a,,9zzu55,bb30eeea-95b2-403b-9009-6be9d6b53000,0,Define problem statement and target customer persona,todo,,,,high,2026-03-04T09:11:36.820931+00:00,2026-03-04T09:11:36.820931+00:00
1abeff92-0853-4681-8b50-25333f155080,,yvxc4h,bb30eeea-95b2-403b-9009-6be9d6b53000,1,Draft business model canvas for VantoOS,todo,,,,high,2026-03-04T09:11:37.420358+00:00,2026-03-04T09:11:37.420358+00:00
7bd459d9-5ba2-4163-8983-cc1fd8e1be82,,k8r07s,bb30eeea-95b2-403b-9009-6be9d6b53000,2,Build financial model with startup costs and 12-month projections,todo,,,,high,2026-03-04T09:11:38.093459+00:00,2026-03-04T09:11:38.093459+00:00
d4494503-474a-4c31-83e0-a6d255000140,,ua5j2h,bb30eeea-95b2-403b-9009-6be9d6b53000,3,Complete use-of-funds breakdown by category,todo,,,,high,2026-03-04T09:11:39.96622+00:00,2026-03-04T09:11:39.96622+00:00
586961c7-9408-4682-a6cc-a56d0e65d781,,7g9b6u,bb30eeea-95b2-403b-9009-6be9d6b53000,4,Create 1-page executive summary document,todo,,,,high,2026-03-04T09:11:39.386369+00:00,2026-03-04T09:11:39.386369+00:00
efb446c2-aa08-4ef4-a165-d2d457dabad8,,6ovbn9,bb30eeea-95b2-403b-9009-6be9d6b53000,5,Prepare 10-slide pitch deck for investors,todo,,,,high,2026-03-04T09:11:38.704447+00:00,2026-03-04T09:11:38.704447+00:00
17a9531c-0781-415b-883c-e3c2e1175750,,d6hafd,bb30eeea-95b2-403b-9009-6be9d6b53000,6,Identify 5 relevant funding sources for VantoOS,todo,,,,medium,2026-03-04T09:11:40.553257+00:00,2026-03-04T09:11:40.553257+00:00
0385b329-18c3-4f61-b11c-0539de82a27d,,ilhkup,bb30eeea-95b2-403b-9009-6be9d6b53000,7,Begin outreach to identified funders,todo,,,,medium,2026-03-04T09:11:41.119968+00:00,2026-03-04T14:08:28.014911+00:00
a32b247b-3679-430a-8f58-4fa6ef2740c7,,2x7957,bb30eeea-95b2-403b-9009-6be9d6b53000,8,Deploy user manual as live product documentation,todo,,,,high,2026-03-07T10:42:25.177033+00:00,2026-03-07T10:42:25.177033+00:00
b0df12c6-cd7a-48e6-b4b7-acc1254c0aed,,jc6axy,bb30eeea-95b2-403b-9009-6be9d6b53000,9,Develop product guide content for each app module,todo,,,,high,2026-03-03T07:12:06.709473+00:00,2026-03-03T07:12:06.709473+00:00
90d6cb59-5287-42dd-9924-df8cdf7a0cc2,,1lpw4u,bb30eeea-95b2-403b-9009-6be9d6b53000,10,Write purpose statement for user manual introduction,todo,,,,medium,2026-03-07T10:42:26.658735+00:00,2026-03-07T10:42:26.658735+00:00
a534c403-dee1-4dec-b583-ca16518b4a09,,3snyip,bb30eeea-95b2-403b-9009-6be9d6b53000,11,Define manual as single source of truth for onboarding and support,todo,,,,medium,2026-03-07T10:42:27.477428+00:00,2026-03-07T10:42:27.477428+00:00
6e649247-27f1-4ae6-a433-85365c88151d,,l465es,bb30eeea-95b2-403b-9009-6be9d6b53000,12,Verify user manual covers all app modules end-to-end,todo,,,,medium,2026-03-07T10:42:30.537591+00:00,2026-03-07T10:42:30.537591+00:00
3a0f40f4-ad6f-4a57-86b0-8d8505c416e7,,sl8ysb,bb30eeea-95b2-403b-9009-6be9d6b53000,13,Review and polish full user manual document,todo,,,,medium,2026-03-07T10:42:37.911694+00:00,2026-03-07T10:42:37.911694+00:00
d5f37b96-d734-4e45-bb91-0ef4ffa25058,,kt632k,bb30eeea-95b2-403b-9009-6be9d6b53000,14,Ensure user manual covers every feature in detail,todo,,,,medium,2026-03-07T10:42:38.439729+00:00,2026-03-07T10:42:38.439729+00:00
b5462985-763c-4774-a85c-8afd6349e96a,,oolajt,bb30eeea-95b2-403b-9009-6be9d6b53000,15,Create 1-page Quick Start guide from user manual,todo,,,,high,2026-03-07T10:42:33.432572+00:00,2026-03-07T10:42:33.432572+00:00
c58e650e-d8da-4418-90cd-4cc9405f3a47,,5nibq1,bb30eeea-95b2-403b-9009-6be9d6b53000,16,Write Quick Start goal: get user to value in 10 minutes,todo,,,,medium,2026-03-07T10:42:33.983452+00:00,2026-03-07T10:42:33.983452+00:00
31c77114-4a51-4940-a8dd-cc043ba0fe07,,lrtz7y,bb30eeea-95b2-403b-9009-6be9d6b53000,17,Add Quick Start step: connect account,todo,,,,medium,2026-03-07T10:42:34.629084+00:00,2026-03-07T10:42:34.629084+00:00
488944b2-24e6-41a6-937a-b2024632cdd6,,g2wzxl,bb30eeea-95b2-403b-9009-6be9d6b53000,18,Add Quick Start step: configure AI keys,todo,,,,medium,2026-03-07T10:42:35.216675+00:00,2026-03-07T10:42:35.216675+00:00
04c6db67-1a02-4e1a-a634-3afd7e61205c,,x3sgpd,bb30eeea-95b2-403b-9009-6be9d6b53000,19,Add Quick Start step: create first plan,todo,,,,medium,2026-03-07T10:42:35.830061+00:00,2026-03-07T10:42:35.830061+00:00
ce6dc60c-2dd1-4eb4-b82c-842e0cb234a9,,aqkjlh,bb30eeea-95b2-403b-9009-6be9d6b53000,20,Add Quick Start step: use WhatsApp Smart Extract,todo,,,,medium,2026-03-07T10:42:36.292678+00:00,2026-03-07T10:42:36.292678+00:00
2c17e0a8-4ce6-43db-a9b3-7b78937a7ac2,,8kckyl,bb30eeea-95b2-403b-9009-6be9d6b53000,21,Add Quick Start step: save to Plan Notes,todo,,,,medium,2026-03-07T10:42:36.85841+00:00,2026-03-07T10:42:36.85841+00:00
e533dad5-a725-4007-bb24-823de7656a79,,4afwzz,bb30eeea-95b2-403b-9009-6be9d6b53000,22,Add Quick Start step: create first task from notes,todo,,,,medium,2026-03-07T10:42:37.409536+00:00,2026-03-07T10:42:37.409536+00:00
60eef29b-8f09-4197-87dd-147837b44014,,qcnh9w,bb30eeea-95b2-403b-9009-6be9d6b53000,23,Create troubleshooting support page from user manual,todo,,,,high,2026-03-07T10:42:39.003085+00:00,2026-03-07T10:42:39.003085+00:00
535db0d8-e1e4-4e44-889c-3346e1875b78,,8wjoyi,bb30eeea-95b2-403b-9009-6be9d6b53000,24,Write troubleshooting goal: fix problems fast,todo,,,,medium,2026-03-07T10:42:39.596459+00:00,2026-03-07T10:42:39.596459+00:00
4eb80fc4-fb67-4ea7-8e30-69bb3172547e,,raxnxt,bb30eeea-95b2-403b-9009-6be9d6b53000,25,Add troubleshooting entry: no chat detected in extension,todo,,,,medium,2026-03-07T10:42:40.040066+00:00,2026-03-07T10:42:40.040066+00:00
8d3de3ca-c49e-4abe-8e82-c40bb7550f08,,ttnjyh,bb30eeea-95b2-403b-9009-6be9d6b53000,26,Add troubleshooting entry: transcript empty after capture,todo,,,,medium,2026-03-07T10:42:40.571233+00:00,2026-03-07T10:42:40.571233+00:00
